Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79983
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000169247
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000154223
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000183361
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000154223
design_powergrid__voltage__worst,0.000154223
design_powergrid__voltage__worst__net:VPWR,1.79983
design_powergrid__drop__worst,0.000169247
design_powergrid__drop__worst__net:VPWR,0.000169247
design_powergrid__voltage__worst__net:VGND,0.000154223
design_powergrid__drop__worst__net:VGND,0.000154223
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000180999999999999994985781792689039093602332286536693572998046875
ir__drop__worst,0.000168999999999999987905507925489700937760062515735626220703125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
