Metric,Value
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3025764724416547
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2964193974175546
timing__hold__ws__corner:max_ff_n40C_1v95,-0.043211269119290026
timing__setup__ws__corner:max_ff_n40C_1v95,10.906332146097805
timing__hold__tns__corner:max_ff_n40C_1v95,-0.08600043143267957
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,-0.043211269119290026
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,3
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.139849
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,10.906332
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,67
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,67
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79989
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000114258
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000126375
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000237473
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000126375
design_powergrid__voltage__worst,0.000126375
design_powergrid__voltage__worst__net:VPWR,1.79989
design_powergrid__drop__worst,0.000126375
design_powergrid__drop__worst__net:VPWR,0.000114258
design_powergrid__voltage__worst__net:VGND,0.000126375
design_powergrid__drop__worst__net:VGND,0.000126375
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000024000000000000000608020578329870886591379530727863311767578125
ir__drop__worst,0.0001140000000000000062762295360840880675823427736759185791015625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
