Metric,Value
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.391465
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,1.046272
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,260
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1602
design__max_fanout_violation__count__corner:max_ss_100C_1v60,552
design__max_cap_violation__count__corner:max_ss_100C_1v60,337
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.61247386673704
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.5387925813563129
timing__hold__ws__corner:max_ss_100C_1v60,1.0251138006388
timing__setup__ws__corner:max_ss_100C_1v60,-6.00959210515944
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-772.8475216324186
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-6.00959210515944
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.025114
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,701
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-3.205436
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,695
timing__unannotated_net__count__corner:max_ss_100C_1v60,260
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,703
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,552
design__max_cap_violation__count__corner:max_ff_n40C_1v95,331
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.410613249468564
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.37467988105958355
timing__hold__ws__corner:max_ff_n40C_1v95,0.1645391647281247
timing__setup__ws__corner:max_ff_n40C_1v95,1.1556391726218107
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.164539
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,2.486403
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,260
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,260
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79981
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000190515
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000234283
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000175386
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000234283
design_powergrid__voltage__worst,0.000234283
design_powergrid__voltage__worst__net:VPWR,1.79981
design_powergrid__drop__worst,0.000234283
design_powergrid__drop__worst__net:VPWR,0.000190515
design_powergrid__voltage__worst__net:VGND,0.000234283
design_powergrid__drop__worst__net:VGND,0.000234283
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00001690000000000000082342986595929090753998025320470333099365234375
ir__drop__worst,0.00019100000000000000766227359338955693601747043430805206298828125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
